Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
"After a refrigerant is phased out, can technicians still service existing systems that use it?","Yes, if they are 608 certified and use recovered or reclaimed refrigerant","No, all equipment must be replaced immediately","Yes, anyone can service it as long as they can obtain refrigerant","No, phased-out refrigerants are completely illegal to handle",A
"In 2025, a technician repairs an R-22 system and needs to add refrigerant to finish the job. Since new production and imports are banned, which sources are allowed for servicing this equipment?","From another state with fewer restrictions","From importing new R-22","From stock recovered R-22 refrigerant only if recovered from the same customer's system","From stock reclaimed R-22",C
"Can refrigerant be resold?","Yes, but only if it has been reclaimed to AHRI Standard 700 specifications","Yes, but only if it has been inspected by the EPA","Yes, all refrigerant can be resold","No",A
"Equipment has to be certified to EPA standards in order to recover which of the following refrigerants?","CFCs","HCFCs","HFCs","All refrigerants",A
"If you are selling R-22 refrigerant, who can you sell to?","An environmentalist","An EPA official","A technician with Section 608 certification","A business that employs a technician with Section 608 certification",C
"If you recover R-12 refrigerant, can you use the recovered refrigerant in another device owned by a different person?","Yes, but only if it has been reclaimed to AHRI Standard 700 specifications","Yes, but only if it has been inspected by the EPA","Yes, all refrigerant can be resold","No, reclaimed refrigerant is illegal to use",A
"In the United States, when were all CFCs phased out by?",1985,1990,1995,2000,C
"In the United States, when were R-22 and R-142b phased out?",1995,2000,2020,2030,C
"In the United States, when will all HCFCs be phased out?",1995,2000,2020,2030,C
"Which of the following records must be kept for an R-22?","Type of refrigerant","Dates","Quantity of refrigerant","Model of appliance",A
"Section 608 of the Clean Air Act is:","A set of federal guidelines on limiting air pollutants","Federal law","State law","A global treaty",B
"State and local regulations _______","Have to be followed in addition to federal CAA regulations","Have to be followed instead of federal CAA regulations","May be stricter than federal CAA regulations","Are a suggestion",A
"The Venting Prohibition requires that you recover affected refrigerant before:","Opening equipment","Servicing equipment","Disposing of equipment","Manufacturing equipment",A
"A scrap yard is taking in old rooftop units. Under Section 608, who must verify that all refrigerant has been removed before disposal?","The original installing contractor","The EPA field inspector","The equipment owner or technician","The final person in the disposal chain",D
"What appliances do Section 608 regulations apply to?","Freezers","Desiccant dehumidifiers","Both (a) and (b)","None of these",A
"What does SNAP stand for?","Significant New Alternatives Policy","Science New Alliances Policy","Science Neutral Alliances Policy","None of these",A
"On August 15, 2017, a contractor was cited for two separate Clean Air Act violations. Each violation persists for three consecutive days (Aug 15–17). Based on the 2017 penalty schedule, what is the maximum total civil fine?","$44,539","$89,078","$222,695","$267,234",D
"What change did the 2016 Kigali Amendment make to the Montreal Protocol?","Allowed limited CFC production again for servicing older equipment","Added a global phase-down schedule for HFCs due to their climate impact","Moved the HCFC phase-out completion date worldwide to 2010","It ended the use of HFCs immediately in every country",B
"What is the purpose of Section 608?","To protect the ozone layer","To regulate use of chemicals that deplete ozone","To raise money through fines","Economic reasons",A
"What is the purpose of SNAP?","To evaluate alternative refrigerants","To further the goals of the CAA","To consider effects of substitute refrigerants on humans","To consider effects of substitute refrigerants on the environment",A
"What do you do if you discover that you have added Refrigerant B to a system that contained Refrigerant A? Consider that Refrigerant A is ozone-depleting.","Vent the refrigerant","Recover the mixture in a separate recovery cylinder","Add more of Refrigerant B","Add more of Refrigerant A",B
"Who can perform refrigerant recovery from small appliances prior to final disposal?","Any individual with proper equipment","Only the manufacturer","Only certified technicians","Only the equipment installer",A
"What other appliances do Section 608 regulations apply to? Select the best answer.","Commercial refrigeration equipment","Air conditioning equipment","Both of the above","None of the above",C
"What penalties can technicians face if they violate the Clean Air Act?","They may lose their Section 608 certification","They may face federal charges","They may have to do community service","They may be fined",A
"Which of the following scenarios are not considered de minimis releases?","A catastrophic rupture after the appliance was run far past the recommended service date","Releases when connecting or disconnecting hoses with low-loss fittings","Releases when servicing a system because recovery was not done with certified equipment","A brief puff when disconnecting certified recovery equipment after recovery is complete",A
"Which of the following are excluded from Section 608 refrigerant management requirements?","Carbon dioxide","HFCs","Water","Nitrogen",A
"Which of the following are violations of the CAA Venting Prohibition?","Release of refrigerants because appliances were not recovered","Releasing isobutane while servicing equipment","Releasing HFC refrigerant because of catastrophic equipment failure","Refrigerants released when disconnecting non low-loss hoses to service an appliance",A
"Which of the following are considered natural refrigerants?","R-290","R-600a","R-744","R-11",A
"Which of the following do you not need Section 608 certification to purchase?","Nitrogen","HFCs","CFCs","HCFCs",A
"Which of the following is a CFC?","R-11","R-12","R-20","R-22",A
"Which of the following is an HCFC?","R-11","R-12","R-20","R-22",D
"Which of the following refrigerants does the Venting Prohibition cover?","CFCs and HCFCs","CFCs, HCFCs, and HFCs","CFCs and natural refrigerants","All natural refrigerants",B
"Which organization can test your recovery equipment used to service a system with R-12?","UL","AHRI","EPA","Both (A) and (B)",D
"Who does not need to maintain proper records of refrigerants?","Wholesalers","The EPA","Reclaimers","Owners and technicians",B
"Which of the following scenarios are not considered de minimis releases?","A catastrophic rupture after the appliance was run far past the recommended service date","Releases when connecting or disconnecting hoses with low-loss fittings","Releases when servicing a system because recovery was not done with certified equipment","A brief puff when disconnecting certified recovery equipment after recovery is complete",A
"Equipment that uses nitrogen as a refrigerant is not subject to Section 608 requirements.",True,False,,,A
"What is the next component the refrigerant flows to after passing through the evaporator?","Condenser","Compressor","Metering Device","Your AC Unit",B
"As the temperature of a liquid increases, what phase does it turn into?(Assume constant pressure)","Solid","Liquid","Vapor","Water",C
"Does the refrigerant change state in the compressor?","Yes, it changes from a vapor to a liquid","Yes it changes from a liquid to a vapor","Yes, it changes from a liquid to a solid","No, it does not change state",D
"When pressure is increased on a liquid while keeping the temperature constant, what state can the substance change into?","Solid","Liquid","Vapor","Water",A
"The refrigerant absorbs heat from your indoor air in order to:","Make your house hotter","Change state from liquid to vapor","Make your house cooler","None of the above",B
"Which component has the opposite function to the condenser?","Evaporator","Compressor","Metering Device","Suction Line",A
"What is the compressor’s job?","To cool the superheated vapor","To decrease the temperature","To increase the pressure","All of the above",C
"What is the condenser’s job?","To cool the high pressure vapor","To heat the high pressure vapor","To increase the pressure","To decrease the pressure",A
"What is the function of the metering device?","To decrease pressure","To increase pressure","To increase temperature","All of the above",A
"What is the state of the refrigerant when it enters the condenser?","High pressure liquid","Low pressure liquid","High pressure vapor","Low pressure vapor",C
"Inside the metering device, what change does the refrigerant primarily undergo?","Pressure increases while it remains a vapor","Pressure decreases while it remains a liquid","Temperature rises and it condenses to liquid","It boils into vapor at higher pressure",B
"When refrigerant exits the metering device, what state is it in?","Low pressure liquid","High pressure liquid","Low pressure vapor","High pressure vapor",A
"Inside the compressor, what happens to the refrigerant?","Condenses to liquid at higher pressure","Freezes into a solid as it cools","Stays a vapor while pressure increases","Evaporates from liquid to vapor",C
"When the refrigerant enters the evaporator, what state is it in?","Solid","Liquid","Vapor","Water",B
"When the refrigerant exits the evaporator, what state is it in?","Solid","Liquid","Vapor","Water",C
"What is the state of the refrigerant when it exits the evaporator?","Low pressure liquid","High pressure vapor","Low pressure vapor","High pressure liquid",C
"Which of the following components are associated with the high-pressure side of the refrigeration system?","Evaporator","Compressor","Condenser","Metering Device",B
"Which components change the refrigerant’s pressure?","Evaporator","Compressor","Condenser","Metering Device","B,D"
"Which of the following states has the highest temperature? (Assume constant pressure)","Solid","Liquid","Vapor","Water",C
"At constant pressure, boiling requires the addition of heat.",True,False,,,A
"Condensation happens when a gas or vapor cools down and becomes liquid.",True,False,,,A
"For the same substance and at the same pressure, the average speed of the molecules in a vapor is faster than the average speed of molecules in a liquid.",True,False,,,A
"If we decrease the pressure of a substance, its boiling point decreases.",True,False,,,A
"In the condenser, the refrigerant changes state.",True,False,,,A
"The boiling point is the temperature at which a substance changes from a liquid state to a vapor or gas state.",True,False,,,A
"The boiling point of most refrigerants is 212 °F.",True,False,,,B
"The vapor leaving the compressor is lower in pressure than vapor entering the compressor.",True,False,,,B
"You are boiling a pot of water with the lid on. As the water heats up and starts to boil, you notice that drops of water form on the bottom of the pot lid. This is an example of condensation.",True,False,,,A
"Your air conditioning works by adding cold air into your house.",True,False,,,B
"B2 refrigerants are more dangerous than which of the following?","B1","B3","A1","A2",A
"B2 refrigerants are safer than which one of the following?","B1","B3","A2","A3",B
"What does CFC stand for?","Chlorocarbons","Chlorofluorocarbons","Chlorofluorons","Carbonfluoride",B
"Which of the following elements do CFCs contain?","Cadmium","Carbon","Carbon dioxide","Fluorine",B
"What does HCFC stand for?","Hydrocarbons","Hydrofluorocarbons","Hydrochlorofluorocarbons","Hydrochlorofluoros",C
"Other than fluorine and chlorine, what do HCFCs contain?","Hydrogen","Carbon","Helium","Calcium",A
"Which of the following elements can be found in HCFCs?","Fluorine","Chlorine","Ceranium","Halon",A
"What does HFC stand for?","Hydrofluorocarbons","Hydrochlorofluorocarbons","Hydrocarbons","Hydroflouridecarbons",A
"Which of the following atoms is part of an HFC molecule?","Helium","Hydrogen","Halon","Chlorine",B
"Other than hydrogen, which of the following molecules do HFCs contain?","Fluorine","Carbon","Cadmium","Chlorine",A
"What safety classification do HFO refrigerants typically fall under?","A2L","A2","B2","B2L",A
"What does HFO stand for?","Hydrofluorocarbons","Hydrofluorooxygens","Hydrocarbons","Hydrofluoroolefins",D
"Which of the following do HFOs contain?","Hydrogen","Halon","Chlorine","Oxygen",A
"Which of the following do HFOs contain?","Fluorine","Falon","Oxygen","Carbon",A
"Which statement is true about hydrocarbons?","Are generally A3 refrigerants","Have high toxicity","Have low flammability","Are safe to use because they are natural refrigerants",A
"If a refrigerant has an ODP of 0.055, which of the following are true?","It contains chlorine","It might contain chlorine","It could be R-22","It could be R-1234yf",A
"R-410A has a GWP of about 2,088. What does this number mean?","It emits 2,088 kg CO₂ for every kilogram produced","It is 2,088× more ozone-depleting than CO₂ across 100 years","It has 2,088 ppm allowable concentration in occupied spaces","It traps roughly 2,088× as much heat as the same mass of CO₂ over 100 years",D
"Which one of the following refrigerants has the lowest global warming potential (GWP)?","R-12","R-22","R-410a","R-1234yf",D
"R-11 is the same as","CFC-11","HCFC-11","HFC-11","HFO-11",A
"R-12 has a GWP in which of the following ranges?","1-500","500-1000","1000-10,000","10,000-50,000",D
"R-12 is the same as","CFC-12","CFC-11","HCFC-12","HFO-12",A
"R-1234yf is the same as:","CFC-1234yf","HCFC-1234yf","HFC-1234yf","HFO-1234yf",D
"R-134a is the same as","CFC-134a","HCFC-134a","HFC-134a","HFO-134a",C
"R-410a has a GWP in which of the following ranges?","1-500","500-1000","1000-10,000","10,000-50,000",C
"R-410a is the same as","CFC-410b","HFC-410b","HFC-410a","HFO-410a",C
"R-134a is the same as:","CFC-134b","HFC-134b","HFC-134a","HFO-134a",C
"The GWP of R-290 is greater than which of the following?","R-410a","R-134a","R-22","None of these",D
"What is the main safety concern with R-410a?","None, it’s an A1 refrigerant so there are no safety concerns","Toxicity","Blood oxygenation","Asphyxia",D
"What does the new subclass (2L) describe?","Alternate highly flammable refrigerants","Refrigerants that are Class 2 and burn slowly","Refrigerants that are Class 2 and take longer to be effective","Refrigerants that are toxic",B
"What is highest possible ODP for any CFC, HCFC, HFC, or HFO refrigerant?",0,1,100,"Infinite",B
"What is the least possible ODP for a refrigerant?",0,1,100,"None",A
"What is the ODP of R-441a?",0,0.1,0.2,1,A
"What is the ODP of R-600a?",1,0,0.5,0.25,B
"Which of the following classes refers to a refrigerant that has low flammability?","Class 1","Class 2","Class 3","Class A",B
"Which of the following classes refers to a refrigerant that is not flammable at all?","Class 1","Class 2","Class 3","Class A",A
"Which of the following classes refers to a refrigerant with high toxicity?","Class 1","Class 3","Class A","Class B",D
"Which of the following classes refers to a refrigerant with low toxicity?","Class 1","Class 3","Class A","Class B",C
"Which gas is used as a reference for measuring GWP?","CFCs","HCFCs","Ozone","Carbon dioxide",D
"Which of the following are CFCs?","R-12","R-1234yf","R-20","R-11",A
"Which of the following are HCFCs that are seen in most refrigeration systems today?","R-22","R-123","R-124","R-231",A
"Which of the following are HCFCs?","R-22","R-123","R-124","R-211",A
"Which of the following refrigerants are HFCs?","R-134a","R-32","R-12","R-22",A
"Why are HFCs still considered harmful to the environment?","Because they deplete the ozone layer","Because they cause cancer","Because they increase global warming","Because they are harmful to plants",C
"What is the chemical name for the HFO refrigerant R-1234yf commonly used in HVAC systems?","Trifluoroethane","Tetrafluoropropene","Dichlorofluoromethane","Pentafluoropropane",B
"Which of the following statements about carbon dioxide is true?","Carbon dioxide has a GWP of 1","Carbon dioxide has a GWP of 0","Carbon dioxide has an ODP of 0","Carbon dioxide has an ODP of 1",A
"Which of the following are natural refrigerants?","R-600a","HC-600a","R-134a","R-22",A
"Which of the following is NOT a natural refrigerant?","R-717","R-744","R-130","R-290",C
"Which of the following refrigerants do not destroy the ozone layer?","R-1234yf","R-744","R-11","R-22",A
"Which safety classification of refrigerants is most dangerous to use?","B3","B2L","A4","A2",A
"A contractor must choose a refrigerant class for use in an occupied classroom where the lowest combined toxicity and flammability risk is required under ASHRAE Standard 34. Which classification is the best fit?","B3","A2L","A3","A1",D
"A technician is sorting old cylinders by their impact on ozone before disposal. Which type should be flagged as most harmful to the ozone layer?","HFOs","UFOs","HCFCs","CFCs",D
"Which of the following refrigerants have little to no impact on the ozone layer?","CFCs","HCFCs","HFCs","HFOs",C
"Which types of refrigerants have the lowest GWPs?","CFCs","HFCs","HFOs","HCs",C
"Ammonia is safe to use because it is a natural refrigerant.",True,False,,,B
"GWP measures how much heat a greenhouse gas traps in the atmosphere over 100 years compared to carbon monoxide.",True,False,,,B
"If a gas has a GWP of 50, it means it has 50 times less global warming potential than carbon dioxide.",True,False,,,B
"R-410a is an A1 refrigerant. It is considered non-toxic and non-flammable under normal operating conditions, making it one of the safest refrigerants to use.",True,False,,,A
"The GWPs of HFOs and HCs are close to those of HCFCs.",True,False,,,B
"The lowest number for an ozone depletion potential (ODP) is 1.",True,False,,,B
Which of the following statements about fractionation of refrigerants is true? (select all that apply),Is when refrigerants settle into layers,Happens in vapor phase,Both A and B,Neither A nor B,C
What is temperature glide?,The difference between the bubble and dew point,The difference between suction and discharge,The sum of superheat and subcooling,The critical temperature point,A
What is bubble point?,The temperature at which the first refrigerant in a blend turns to vapor,The temperature at which the first refrigerant turns to liquid,The temperature at which the mixture freezes,The critical pressure point,A
What is the definition of dew point?,The temperature at which the first refrigerant in a blend turns to liquid,The temperature at which the first refrigerant turns to vapor,The temperature at which the mixture boils,The triple point of the blend,A
"A manufacturer lists a refrigerant mixture with R-32 (23%), R-125 (25%), and R-134a (52%). How is this blend classified?",Ternary blend,Binary blend,Azeotropic blend,Single substance,A
Which of the following is considered retrofitting?,Modifying components of the system to use a new refrigerant,Reclaiming refrigerant,Recycling refrigerant,Recovering refrigerant,A
Which of the following are reasons to not mix your own refrigerants?,It voids equipment warranties,The pressure-temperature relationship is unknown,It may cause equipment failure,All of the above,D
"If a refrigerant has a drop-in replacement, then no retrofit is needed.",True,False,,,A
"In a zeotropic blend, all refrigerants have the same boiling point.",True,False,,,B
R-407c is an azeotropic blend.,True,False,,,B
Refrigerant blends need to be charged as a liquid.,True,False,,,A
Refrigerant blends take on the ASHRAE number of the main refrigerant in the blend.,True,False,,,B
Technicians can make their own EPA-approved refrigerant blends.,True,False,,,B
There are no drop-in replacements for R-22 refrigerant.,True,False,,,A
There are no retrofit refrigerants for R-22.,True,False,,,B
"Alkylbenzene (AB) oil is used for systems with which of the following refrigerants? (Select all that apply)",CFC,HCFC,HCFC blends,All of the above,D
"A bottle of hygroscopic refrigerant oil is left uncapped on a humid day and then used in a system. What problem is most likely to show up first?",Water absorption causing ice blockages,Acid formation eating through copper,Compressor overheating,Oil turning into sludge,A
"If we are retrofitting a system to use R-134a, which oil do we need to use?",Polyolester (POE),Alkylbenzene (AB),Mineral Oil (MO),Polyalkylene Glycol (PAG),A
R-1234yf is not miscible with any refrigerant oils.,False,True,,,A
Alkylbenzene (AB) oil is miscible in HCFC refrigerants.,True,False,,,A
An ideal oil is best at handling only high temperatures and high pressures.,False,True,,,A
An ideal oil is readily miscible with the refrigerant in the system.,True,False,,,A
"Provided that the oil is non-flammable at both the initial and final temperatures, it is suitable for use since the system is enclosed.",False,True,,,A
Hydrolysis is when refrigerant oils break down in the presence of water.,True,False,,,A
Polyolester oils are great because they can mix with a lot of other oils.,False,True,,,A
"Which of the following is a common way that leaks can occur?","Wear and tear on old equipment","Poor initial construction","Holes or cracks created accidentally during construction","All of the above",D
"Which of the following is least likely to be a common leak location in HVAC systems?","Piping connections","HVAC Fan","Coils","Valve connections",B
"Which of the following is not a reason why refrigerant leaks are a concern?","They can easily be fixed by all homeowners","HVAC equipment won’t work properly if there is a leak","They can be costly to find and fix","Refrigerants can be harmful to the environment",A
"What information needs to be on the label of a container sent for reclamation?","Refrigerant type","Date manufactured","Cylinder type","All of these",A
"A supplier is loading refrigerant cylinders for transport to a reclaimer. To meet transport rules, how must the cylinders be arranged?","Horizontal with chocks under both ends","Valve-down orientation","loosely packed","Upright and secured against tipping",D
"You’re returning used R-22 from several jobs. What preparation is required before the carrier will accept the shipment?","Any cylinder is fine if it’s upright and strapped down","Recovery cylinder only; no labeling or tags needed","Disposable cylinder is okay if the cap is installed tightly","Recovery cylinder, refrigerant type label, and attach DOT tags",D
"When shipping refrigerants in hazard class 2.2, what information needs to be on the shipping paper?","Number of molecules in the cylinder","Number of times the refrigerant has been used","Number of refrigerants in the cylinder","Number of cylinders of each gas",D
"Where can you find any safety-related information on refrigerants you’re handling?","Safety Information Sheets","Safety Data Sheets","Material Data Sheets","All of these",B
"When sending used refrigerants to be reclaimed, you must use disposable refrigerant cylinders.",True,False,,,B
"Contaminated refrigerants can cause the appliance to:","Last longer","Cool less efficiently","Optimize cooling","None of these",B
"If a household freezer contains R-22, we can retrofit it to operate on:","R-12","R-600A","R‑407A","None of these",C
"If we find refrigerant that is mixed, what should we do?","Destroy it","Send it to the EPA to be reclaimed","Send it to SkillCat to be reclaimed","Send it to a certified reclaiming facility to be reclaimed",D
"If we use nitrogen to pressurize a system or blow debris out (after fully recovering the refrigerant in the appliance), we can?","Recover the nitrogen into the same recovery tank as the refrigerant","Vent the nitrogen","Vent the refrigerant because it’s useless","All of these",B
"What is isobutane?","R-290","An acceptable substitute for all household refrigerators and freezers","An unacceptable substitute for new household refrigerators and freezers","An acceptable substitute for new household refrigerators and freezers",D
"New household refrigerators and freezers can be factory charged with?","R-600a","R-290","Both A and B","None of these",C
"Small appliances include:","Commercial freezers","Commercial refrigerators","Window AC units","All of these",C
"Up to how many pounds of refrigerant can Type I appliances contain?",3,5,15,50,B
"Which of the following statements about hydrocarbons is NOT correct?","Hydrocarbons are acceptable substitutes for retrofit applications","Hydrocarbons are highly flammable","Hydrocarbons can only be factory charged","Hydrocarbons are acceptable substitutes with use conditions",A
"Which of the following is not true?","SNAP lists acceptable substitutes for phased out refrigerants for different categories of end-uses","SNAP is implemented by the EPA","Refrigerants can be classified as unacceptable under SNAP","None of these",D
"Which of the following statements is true about refrigerant recovery?","You can only sell refrigerant that is reclaimed to virgin specifications","Reclaimers can refuse to accept contaminated refrigerant","Reclaimers can charge extra for processing contaminated refrigerant","All of these",D
"Which of the following refrigerants is not covered by the sales restriction of Section 608?","R-717","R-134a","R-22","R-12",A
"Which of these can be vented?","R-717","R-744","R-728","R-134a",A
"Do you expect to see R-22 listed as an acceptable substitute under the SNAP program?",True,False,,,B
"Do you expect to see R-404a in household refrigerators and freezers?",True,False,,,A
"Do you expect to see R-407c in new household refrigerators and freezers?",True,False,,,B
"For R-22, there are no drop-in substitutes.",True,False,,,A
"Hermetically sealed systems are systems that cannot lose refrigerant.",True,False,,,B
"If a humidifier has 60 ounces of R-32, it is considered a Type I appliance under Section 608.",True,False,,,A
"If a humidifier has 90 ounces of R-32, it is considered a Type I appliance under Section 608.",True,False,,,B
"If a water cooler has 14 ounces of R-134a, it is considered a Type I appliance under Section 608.",True,False,,,A
"If I don’t have Section 608 certification, I can buy 3 lb cans of R-134a.",True,False,,,B
"If we have two HFC refrigerants, we can use the same recovery cylinder because they are the same type of refrigerant.",True,False,,,B
"Low loss fittings are required for servicing systems containing ODS in order to comply with the Venting Prohibition.",True,False,,,A
"MVACs are considered Type I appliances under Section 608 but MVAC-like systems are not.",True,False,,,B
"New household refrigerators and freezers containing R-290 can contain 3 lbs of refrigerant.",True,False,,,B
"Nitrogen can be used to pressurize or blow debris out of a system containing a half charge of refrigerant.",True,False,,,B
"Only refrigerant blends without HFCs are acceptable under the SNAP program.",True,False,,,B
"R-450a is an acceptable substitute for use in new household refrigerators and freezers under SNAP. This means new household refrigerators and freezers can be factory charged with R-450a.",True,False,,,A
"Section 608 is part of the Clean Air Act.",True,False,,,A
"The SNAP program could label refrigerant A as an acceptable substitute for use in a chiller but an unacceptable substitute for vending machines.",True,False,,,A
"Trace gases used for leak detection cannot be vented because they contain ODS.",True,False,,,B
"A system with a total refrigerant charge of exactly 3 lb is classified as Type I.",True,False,,,A
"All Type I small appliances must be charged by the technician before first use.",True,False,,,B
"We can retrofit an old appliance to operate on 2 lbs of R-600a.",True,False,,,B
"We only have to recover refrigerants before servicing systems containing CFCs and HCFCs.",True,False,,,B
"A near azeotropic blend will contain:","One saturation pressure value","One high saturation pressure value","Two saturation pressure values that are close","Two saturation pressure values that have a big difference",C
"A zeotropic blend will contain:","One saturation pressure value","One high saturation pressure value","Two saturation pressure values that are close","Two saturation pressure values that have a big difference",D
"Access fittings:","Need to be leak tested before recovering refrigerant","Are used to gain access to closed systems","Are used with window AC units","All of these",D
"Defrost heaters:","Can be used to increase the temperature of refrigerant","Can be used to increase refrigerant recovery speed","Are available in all Type I appliances","None of these",A
"If the compressor is not working and we are performing passive recovery, we need to take steps to do what?","Secure a recovery machine","Vacate the area","Ventilate the working space","Release trapped refrigerant from the compressor oil",D
"If the pressure of the system is found to be 0 psig, can we recover refrigerant from the system?","Yes","No","It depends on how much refrigerant is left","It depends on the type of refrigerant",B
"If the pressure reading and expected pressure are far apart, which of the following are possibly contained in the refrigerant?","Air","Water vapor","Nitrogen","All of these",D
"A sealed household refrigerator has a working compressor and a blocked capillary tube. To recover the charge, what access setup is required?","One access valve on the high side only","Two access valves, one on each side","No access valves; pull through service port","One access valve on the low side only",A
"Solderless piercing valves:","Tend to leak over time","Are for permanent use","Should not be left on the appliance after service","Both (a) and (c)",D
"What does system-dependent recovery mean?","Removes only vapor","Uses separate recovery unit","Requires pump-down","Uses appliance compressor",D
"We can use a known refrigerant’s PT chart to see if there are non-condensables in the refrigerant.","Always true","Only true if we can measure the refrigerant’s temperature","Only true if we can measure the refrigerant’s pressure","Only true if we can measure both the pressure and temperature",D
"What is the approximate pressure of a storage container of R-22 that is stored at 75°F? Assume there are no impurities. PT Chart","131 psig","308 psig","78.8 psig","22 psig",A
"What is the approximate pressure of a storage container of R-404a that is stored at 60°F? Assume there are no impurities. PT Chart","88.2 psig","108 psig","125.8 psig","269 psig",C
"What should we do to recover refrigerant from a system with a compressor that is not working?","Tapping the compressor with the biggest a mallet to maximize surface area","Tapping the compressor with a rubber mallet so we don’t damage it","Heating it with a match","Heating it with a heating blanket",B
"When performing active recovery and the compressor is working, we must recover to what levels?","90% of the refrigerant charge","4 inch vacuum","Both (a) and (b)","Either (a) or (b)",D
"Which method of monitoring fill level is the most accurate?","Gross cylinder weight","Mechanical float device","Electronic shut off device","None of these",A
"Which methods are approved by the EPA to monitor fill level of recovery cylinders?","Mechanical/ Internal Float Devices","Electronic Shut Off Devices","Gross cylinder weight","All of these",D
"Which of the following are types of low loss fittings?","Solder type low loss fittings","Manual low loss fittings","Automatic low loss fittings","Hybrid low loss fittings",B
"Which of the following values do we check if we suspect that non-condensables are present?","Refrigerant pressure","Humidity","Refrigerant type","Refrigerant weight",A
"You are servicing an appliance that contains R-134a. Which of the following can you use to recover the refrigerant?","A recovery cylinder used for HCFC-22","A recovery cylinder used for HFC-134a","A disposable cylinder used for R-134a","A disposable cylinder used for R-22",B
"We need separate recovery cylinders for each class of refrigerants (e.g. HCFCs). For example, we cannot use the same cylinders to recover CFC and HCFC refrigerants. But we can use the same cylinder to recover different HCFC refrigerants.",True,False,,,B
"An active recovery machine is required for all systems. Passive recovery is a thing of the past.",True,False,,,B
"For both active recovery and passive recovery, we must recover 80% of the appliance charge if the compressor is not working.",True,False,,,A
"If a refrigerant’s pressure readings are not stable, we can use its temperature readings to compare to its PT chart to check for non-condensables.",True,False,,,B
"Installing both high and low side access valves will increase recovery time.",True,False,,,B
"Low loss fittings are only needed when recovering from appliances containing ODS and their substitutes.",True,False,,,B
"Low loss fittings are required for servicing appliances containing CFCs, HCFCs, and HFCs because of the Venting Prohibition.",True,False,,,A
"System dependent recovery captures refrigerant in a pressurized container to keep it fresh.",True,False,,,B
"We generally want to leak test access fittings after refrigerant recovery to make sure it does not have leaks for the next service. This is to save us time from leak testing the access fitting the next time around.",True,False,,,B
"When the compressor is not working and we are performing passive recovery, we need to access the system from both the high and low side.",True,False,,,A
"If a recovery device cannot achieve a 4-inch vacuum, which one of the following does it have to be able to do in order to be used with Type I small appliances?","Recover 80% of refrigerant with a working compressor","Recover 80% of refrigerant with a non-working compressor","Recover 90% of refrigerant with a working compressor","Recover 90% of refrigerant with a non-working compressor",B
"If the oil is contaminated, what do we have to do?","Flush the system","Flush the compressor","Flush the recovery device","All of these",A
"Non-condensables would ____ the pressure on the high side of an active recovery device.","Increase","Decrease","Have no effect on",,A
"Recovery devices are tested and certified by:","AHRI only","ASHRAE only","Both AHRI and UL","AHRI, UL, and the EPA",C
